FIP,2/1/1918,3/1/1918,4/1/1918,5/1/1918,6/1/1918,7/1/1918,8/1/1918,9/1/1918,10/1/1918,11/1/1918,12/1/1918,1/1/1919,2/1/1919,3/1/1919,4/1/1919,5/1/1919,6/1/1919,7/1/1919,8/1/1919,9/1/1919,10/1/1919,11/1/1919,12/1/1919,1/1/1920,2/1/1920,3/1/1920,4/1/1920,5/1/1920,6/1/1920,7/1/1920,8/1/1920,9/1/1920,10/1/1920,11/1/1920,12/1/1920,1/1/1921
186,3,3,1,0,1,0,0,0,2,4,24,10,4,3,9,4,1,0,0,0,0,0,1,0,0,5,4,1,0,2,0,0,0,2,1,0
187,13,14,19,11,5,2,4,2,1,12,29,61,20,11,13,9,4,1,3,4,5,5,3,7,9,86,10,7,9,3,3,3,3,8,2,6
189,51,30,32,18,3,2,2,4,10,139,45,94,43,34,54,17,5,7,5,5,7,9,15,19,44,107,14,10,11,3,3,3,3,2,6,11
195,3,7,7,1,1,0,1,0,3,28,35,59,14,15,15,3,2,3,1,2,0,3,2,1,6,50,7,4,8,0,1,0,3,2,3,7
197,6,2,2,0,1,0,0,0,0,2,2,10,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0
199,1,0,4,0,0,0,0,0,1,3,8,10,4,0,4,0,1,0,0,0,1,0,0,3,1,24,8,3,0,0,0,0,0,2,0,5
201,5,4,5,4,5,0,1,0,0,40,57,44,19,6,4,4,0,0,0,0,0,3,0,6,11,37,14,5,2,0,1,0,2,1,0,5
203,4,3,2,0,0,0,0,0,1,6,7,9,3,2,1,0,1,0,0,0,0,0,2,4,3,20,2,3,1,0,0,0,1,1,1,1
205,11,3,2,1,0,0,1,0,1,9,23,9,6,2,2,5,1,0,0,1,0,1,1,3,0,19,1,0,0,0,0,1,0,0,3,3
207,8,5,5,2,4,1,1,0,2,54,54,63,45,18,11,7,1,2,1,0,1,2,9,6,7,53,18,1,6,2,0,0,0,1,3,5
